CrimeDescription,CaseStatusDescription,Total
TILL TAP - PETTY ($950 & UNDER),Juv Other,1
TRESPASSING,Adult Arrest,247
TRESPASSING,Adult Other,328
TRESPASSING,Invest Cont,3244
TRESPASSING,Juv Arrest,3
TRESPASSING,Juv Other,1
UNAUTHORIZED COMPUTER ACCESS,Adult Arrest,2
UNAUTHORIZED COMPUTER ACCESS,Adult Other,9
UNAUTHORIZED COMPUTER ACCESS,Invest Cont,140
UNAUTHORIZED COMPUTER ACCESS,Juv Other,1
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Adult Arrest,1633
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Adult Other,1188
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Invest Cont,13658
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Juv Arrest,45
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Juv Other,30
VANDALISM - MISDEAMEANOR ($399 OR UNDER),Adult Arrest,262
VANDALISM - MISDEAMEANOR ($399 OR UNDER),Adult Other,768
VANDALISM - MISDEAMEANOR ($399 OR UNDER),Invest Cont,6103
VANDALISM - MISDEAMEANOR ($399 OR UNDER),Juv Arrest,8
VANDALISM - MISDEAMEANOR ($399 OR UNDER),Juv Other,17
VEHICLE - ATTEMPT STOLEN,Adult Arrest,63
VEHICLE - ATTEMPT STOLEN,Adult Other,24
VEHICLE - ATTEMPT STOLEN,Invest Cont,885
VEHICLE - ATTEMPT STOLEN,Juv Arrest,3
VEHICLE - STOLEN,Adult Arrest,38
VEHICLE - STOLEN,Adult Other,20
VEHICLE - STOLEN,Invest Cont,96
VEHICLE - STOLEN,Juv Arrest,2
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",Adult Arrest,10
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",Adult Other,2
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",Invest Cont,234
VIOLATION OF COURT ORDER,Adult Arrest,310
VIOLATION OF COURT ORDER,Adult Other,781
VIOLATION OF COURT ORDER,Invest Cont,793
VIOLATION OF COURT ORDER,Juv Arrest,2
VIOLATION OF RESTRAINING ORDER,Adult Arrest,656
VIOLATION OF RESTRAINING ORDER,Adult Other,1214
VIOLATION OF RESTRAINING ORDER,Invest Cont,1527
VIOLATION OF RESTRAINING ORDER,Juv Arrest,1
VIOLATION OF RESTRAINING ORDER,Juv Other,1
VIOLATION OF TEMPORARY RESTRAINING ORDER,Adult Arrest,56
VIOLATION OF TEMPORARY RESTRAINING ORDER,Adult Other,92
VIOLATION OF TEMPORARY RESTRAINING ORDER,Invest Cont,122
WEAPONS POSSESSION/BOMBING,Adult Arrest,4
WEAPONS POSSESSION/BOMBING,Invest Cont,7
